"update.pleaseWait" : "请稍候……"
"update.manually" : "更新失败。请手动更新"
"update.inProgress" : "正在更新..."
"update.restart" : "更新完毕！\n请重新启动游戏。"
"update.failed" : "更新失败。"
"title.button.updateNebula" : "更新 星云舰"
"title.button.existNewerNebula" : "已更新适配新版本Among Us\n的新版本星云舰模组"
"title.button.getStableNebula" : "更新到稳定版"
"title.button.updateNebulaSnapshot" : "更新到快照版（可能不稳定）"
"title.button.github" : "Github发布"

"config.debug.snapshot" : "使用快照版本"
"config.debug.outputHash" : "输出本地装扮哈希值"
"config.option.pictureDest" : "截图保存位置"
"config.option.pictureDest.amongUsDirectory" : "Among Us根目录"
"config.option.pictureDest.myPictures" : "图片文件夹"
"config.option.pictureDest.myDocuments" : "文档文件夹"
"config.option.pictureDest.desktop" : "桌面"
"config.option.processorRestriction" : "CPU使用限制"
"config.option.processorRestriction.dontCare" : "无限制"
"config.option.processorRestriction.dualCoreHT" : "双核(HT)"
"config.option.processorRestriction.dualCore" : "双核"
"config.option.processorRestriction.singleCore" : "单核"
"config.option.prioritizeAmongUs" : "最高进程优先级"
"config.option.prioritizeAmongUs.confirm" : "这项更改会让Among us具有更佳的性能\n但有可能会影响你的电脑运行时的稳定性\n你是否仍要启用这项更改？"
"config.option.timeoutExtension" : "房间因不活跃关闭时限延长倍数"
"config.option.dontCareMismatchedNoS" : "不再检查加入玩家版本是否匹配"
"config.option.preventSpoiler" : "防止复活玩家获得职业信息"

"config.option.yes" : "确认启用"
"config.option.no" : "返回"
"config.option.keyBinding" : "键位更改"
"config.option.keyBinding.restoreDefaults" : "恢复默认"
"config.option.keyBinding.ability" : "使用技能"
"config.option.keyBinding.secondaryAbility" : "使用第二技能"
"config.option.keyBinding.changeAbility" : "更换技能"
"config.option.keyBinding.modifierAbility" : "附加职业技能"
"config.option.keyBinding.kill" : "击杀"
"config.option.keyBinding.help" : "帮助"
"config.option.keyBinding.observer" : "切换观战模式"
"config.option.keyBinding.changeEyesightLeft" : "切换视角（左）"
"config.option.keyBinding.changeEyesightRight" : "切换视角（右）"
"config.option.keyBinding.observerShortcut" : "切换视角快捷键"
"config.option.keyBinding.metaControl" : "控制键"
"config.option.keyBinding.noGame" : "快速终止游戏\n（与控制键一并按下）"

"lobby.hasNoNebula" : "%NAME% 未安装模组或模组版本不同"
"lobby.hasDifferentNebula" : "%NAME% 模组版本不同"
"lobby.willEliminatedByMismatchVersion" : "房主未安装模组或模组版本不同。\n您将在%STAY%秒后被踢出"

"gamemode.standard" : "标准模式"
"gamemode.minigame" : "小游戏：捉迷藏"
"gamemode.ritual" : "敬请期待！"
"gamemode.investigators" : "敬请期待！"
"gamemode.freePlay" : "Debug模式"

"cosmic.package.innerslothHats" : "官方帽子"
"cosmic.package.innerslothNamePlates" : "官方铭牌"
"cosmic.package.innerslothVisors" : "官方脸部装饰"
"cosmic.package.standardNameplate" : "<size=3>Standard精选集</size>"
"cosmic.package.nosCommHat" : "<size=3>星云舰社区帽子</size>"
"cosmic.package.nosCommVisor" : "<size=2.5>星云舰社区脸部装饰</size>"
"cosmic.package.nosCommNameplate" : "<size=2.1>星云舰社区铭牌</size>"
"cosmic.package.local" : "<size=2.1>本地装扮</size>"

"preset.save" : "保存当前预设"
"preset.dialog.save" : "预设保存成功！"
"preset.dialog.load" : "预设加载成功。"
"preset.dialog.loadFailed" : "预设加载失败。"

"option.tab.settings" : "设置"
"option.tab.crewmateRoles" : "船员<color=#ffffffff>职业</color>"
"option.tab.impostorRoles" : "伪装者<color=#ffffffff>职业</color>"
"option.tab.neutralRoles" : "中立<color=#ffffffff>职业</color>"
"option.tab.ghostRoles" : "亡灵<color=#ffffffff>与</color><color=#87ff8cff>更多</color><color=#ffffffff>职业</color>"
"option.tab.modifiers" : "附加职业"
"option.tab.escapeRoles" : "躲猫猫<color=#ffffffff>职业</color>"
"option.tab.advancedSettings" : "进阶<color=#ffffffff>设置</color>"

"option.display.pressTabForMore" : "按 TAB 键查看更多"
"option.display.percentage.andSoForth" : "<color=#606060ff>-</color>"
"option.display.percentage.0" : "0%"
"option.display.percentage.10" : "10%"
"option.display.percentage.20" : "20%"
"option.display.percentage.30" : "30%"
"option.display.percentage.40" : "40%"
"option.display.percentage.50" : "50%"
"option.display.percentage.60" : "60%"
"option.display.percentage.70" : "70%"
"option.display.percentage.80" : "80%"
"option.display.percentage.90" : "90%"
"option.display.percentage.100" : "100%"
"option.display.infinity" : "∞"
"option.display.none" : "<color=#606060ff>无</color>"
"option.display.preset.1" : "预设1"
"option.display.preset.2" : "预设2"
"option.display.preset.3" : "预设3"
"option.display.preset.4" : "预设4"
"option.display.preset.5" : "预设5"
"option.switch.on" : "<color=#ffffd6ff>开</color>"
"option.switch.off" : "<color=#606060ff>关</color>"

"option.preset" : "预设"
"option.gameMode" : "游戏模式"
"option.crewmateRoles" : "船员阵营"
"option.minimumCrewmateRoles" : "最少船员职业数量"
"option.maximumCrewmateRoles" : "最多船员职业数量"
"option.neutralRoles" : "独立阵营"
"option.minimumNeutralRoles" : "最少独立职业数量"
"option.maximumNeutralRoles" : "最多独立职业数量"
"option.impostorRoles" : "伪装者阵营"
"option.minimumImpostorRoles" : "最少伪装者职业数量"
"option.maximumImpostorRoles" : "最多伪装者职业数量"

"option.soloFreePlayOption" : "单人debug模式设置"
"option.countOfDummies" : "假人数量"

"option.meetingOptions" : "会议设置"
"option.maxNumberOfMeetings" : "紧急会议最多可召开次数"
"option.deathPenaltyForDiscussionTime" : "每当玩家死亡投票时间缩减"
"option.additionalEmergencyCoolDown" : "额外紧急会议冷却"
"option.additionalEmergencyCoolDownCondition" : "额外紧急会议冷却条件"
"option.canUseEmergencyWithoutDeath" : "死亡发生前紧急会议锁定"
"option.canUseEmergencyWithoutSabotage" : "破坏发生前紧急会议锁定"
"option.canUseEmergencyWithoutReport" : "报告前紧急会议锁定"
"option.severeEmergencyLock" : "仅当启用条件全部满足时紧急会议解锁"
"option.canSkip" : "允许弃票"
"option.dealAbstentionAsSelfVote" : "当弃票时视为自票"
"option.hideVotedIcon" : "隐藏已投票图标"

"option.mapOptions" : "地图设置"
"option.playRandomMaps" : "游玩随机地图"
"option.exceptSkeld" : "不会随机到Skeld地图"
"option.exceptMIRA" : "不会随机到Mira地图"
"option.exceptPolus" : "不会随机到Polus地图"
"option.exceptAirship" : "不会随机到Airship地图"
"option.additionalVents" : "追加管道口(Polus)"
"option.additionalWirings" : "追加接线任务(Polus)"
"option.multipleSpawnPoints" : "启用多个重生点(Polus)"
"option.synchronizedSpawning" : "重生时间同步(Airship)"
"option.optimizedMaps" : "地图优化(Airship)"
"option.invalidatePrimaryAdmin" : "禁用主管理地图"
"option.invalidatePrimaryAdmin.onlyAirship" : "仅在Airship启用"
"option.invalidateSecondaryAdmin" : "禁用副管理地图(Airship)"
"option.useClassicAdmin" : "使用旧式管理地图"
"option.allowParallelMedBayScans" : "允许同时进行医疗扫描"
"option.quietVentsInTheShadow" : "隐藏阴影中的管道动画"
"option.oneWayMeetingRoom" : "会议室单向梯(Airship)"
"option.shuffledElectrical" : "每轮会议都改变电气房结构(Airship)"

"option.spawnMethod" : "出生方式"
"option.spawnMethod.default" : "默认"
"option.spawnMethod.selectable" : "可选"
"option.spawnMethod.random" : "随机"
"option.spawnMethod.location.cafeteria" : "餐厅"
"option.spawnMethod.location.weapons" : "武器室"
"option.spawnMethod.location.lifeSupport" : "氧气室"
"option.spawnMethod.location.navigation" : "导航室"
"option.spawnMethod.location.shields" : "护盾室"
"option.spawnMethod.location.comms" : "通讯室"
"option.spawnMethod.location.admin" : "管理室"
"option.spawnMethod.location.storage" : "库房"
"option.spawnMethod.location.electrical" : "电力室"
